 1,  8, 35, 83, 43,  1, 17, 73, 30
 2, 35, 34, 84, 83, 17, 18, 74, 73
 3, 34, 33, 85, 84, 18, 19, 75, 74
 4, 33, 32, 86, 85, 19, 20, 76, 75
 5, 32, 31, 87, 86, 20, 21, 77, 76
 6, 31,  5, 37, 87, 21,  2, 22, 77
 7, 43, 83, 88, 44, 30, 73, 78, 29
 8, 83, 84, 89, 88, 73, 74, 79, 78
 9, 84, 85, 90, 89, 74, 75, 80, 79
10, 85, 86, 91, 90, 75, 76, 81, 80
11, 86, 87, 92, 91, 76, 77, 82, 81
12, 87, 37, 36, 92, 77, 22, 23, 82
13, 44, 88, 38,  7, 29, 78, 28,  4
14, 88, 89, 39, 38, 78, 79, 27, 28
15, 89, 90, 40, 39, 79, 80, 26, 27
16, 90, 91, 41, 40, 80, 81, 25, 26
17, 91, 92, 42, 41, 81, 82, 24, 25
18, 92, 36,  6, 42, 82, 23,  3, 24
19,  62,  93, 103,  53,   9,  45,  48,  12
20,  93,  94, 104, 103,  45,  46,  47,  48
21,  94,  68,  67, 104,  46,  10,  11,  47
22,  61,  95, 105,  54,  62,  93, 103,  53
23,  95,  96, 106, 105,  93,  94, 104, 103
24,  96,  69,  66, 106,  94,  68,  67, 104
25,  60,  97, 107,  55,  61,  95, 105,  54
26,  97,  98, 108, 107,  95,  96, 106, 105
27,  98,  70,  65, 108,  96,  69,  66, 106
28,  59,  99, 109,  56,  60,  97, 107,  55
29,  99, 100, 110, 109,  97,  98, 108, 107
30, 100,  71,  64, 110,  98,  70,  65, 108
31,  58, 101, 111,  57,  59,  99, 109,  56
32, 101, 102, 112, 111,  99, 100, 110, 109
33, 102,  72,  63, 112, 100,  71,  64, 110
34,  16,  50,  51,  15,  58, 101, 111,  57
35,  50,  49,  52,  51, 101, 102, 112, 111
36,  49,  13,  14,  52, 102,  72,  63, 112
