% Model,shear weak dynamic.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 29 2024, 21:29"
% Dimension,1
% Nodes,50
% Expressions,1
% Description,Global
% Top displacement (mm),State variable load
3.964599070914232E-7,0.0037305224467551637
0.010233146290577736,30.677972050585126
0.04113659336158109,44.28829936894635
0.07490885490531589,52.90655115132476
0.10990813187038109,59.56777702272338
0.15151023735549393,65.85205691981726
0.1815252354721966,69.76527833491932
0.21190316280303806,73.17611245585644
0.24253891062656402,76.20717455093352
0.2733716798435057,78.86741865295808
0.30436960830464455,81.25898381224852
0.33546580316957425,83.43423321124058
0.36682161928264556,85.34400302405433
0.39837842946629054,87.0125701981302
0.4300301893829814,88.52292505069374
0.4617598699316769,89.91938274388956
0.49356193356797023,91.21214153928904
0.52542467863544,92.43426082407936
0.5575320485644076,93.48037638238361
0.5898391176397082,94.36339596821384
0.6223013545696497,95.1101934389876
0.6549311289937246,95.77958158783925
0.6878331152165824,96.33828697901025
0.7209519356232881,96.80049751446643
0.7544752002503269,97.13618102539637
0.7884749454452475,97.29863907058152
0.8231136515523387,97.30795524082367
0.8584500637276569,97.14641698800783
0.8942583521261487,96.87960348246249
0.9307542820371224,96.47258558297904
0.9676788821174506,95.91378328500157
1.0052466550974508,95.21075272686655
1.042870426930119,94.45857769746553
1.0807214979065052,93.60396624672414
1.118777059528468,92.66264772889654
1.157254591792304,91.6191834516353
1.1955880030618824,90.53734403364393
1.2338111005517587,89.43732500216896
1.2720535781824451,88.33883730085184
1.3100485882678754,87.24686590549877
1.3477395427060386,86.14561810883389
1.3853545712278403,85.04701456359037
1.4228806618000065,83.95762017538591
1.460648181865542,82.84399677809391
1.498511670653753,81.73322935212654
1.5366476085344778,80.66314769005116
1.575557170904761,79.65715521296836
1.6146923992140716,78.65477417068058
1.6537210501014006,77.68862442312101
1.6928523549525207,76.74213300259265
