 1,  55,   1,   4,  62, 395,  74,  71, 403
 2,  56,  55,  62,  61, 396, 395, 403, 404
 3,  57,  56,  61,  60, 397, 396, 404, 405
 4,  58,  57,  60,  59, 398, 397, 405, 406
 5,   2,  58,  59,   3,  77, 398, 406,  76
 6, 395,  74,  71, 403, 399,  73,  72, 407
 7, 396, 395, 403, 404, 400, 399, 407, 408
 8, 397, 396, 404, 405, 401, 400, 408, 409
 9, 398, 397, 405, 406, 402, 401, 409, 410
10,  77, 398, 406,  76,  78, 402, 410,  75
11, 399,  73,  72, 407,  66,   8,   7,  67
12, 400, 399, 407, 408,  65,  66,  67,  68
13, 401, 400, 408, 409,  64,  65,  68,  69
14, 402, 401, 409, 410,  63,  64,  69,  70
15,  78, 402, 410,  75,   5,  63,  70,   6
16, 411, 419,  79,  82,  91,  99,  10,   9
17, 412, 420,  80,  81, 411, 419,  79,  82
18,  90,  98,  11,  12, 412, 420,  80,  81
19, 413, 421, 419, 411,  92, 100,  99,  91
20, 414, 422, 420, 412, 413, 421, 419, 411
21,  89,  97,  98,  90, 414, 422, 420, 412
22, 415, 423, 421, 413,  93, 101, 100,  92
23, 416, 424, 422, 414, 415, 423, 421, 413
24,  88,  96,  97,  89, 416, 424, 422, 414
25, 417, 425, 423, 415,  94, 102, 101,  93
26, 418, 426, 424, 416, 417, 425, 423, 415
27,  87,  95,  96,  88, 418, 426, 424, 416
28,  85,  84, 425, 417,  16,  13, 102,  94
29,  86,  83, 426, 418,  85,  84, 425, 417
30,  15,  14,  95,  87,  86,  83, 426, 418
