% Model,shear weak dynamic.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 21 2024, 23:55"
% Dimension,1
% Nodes,49
% Expressions,1
% Description,Global
% -top(v) (mm),State variable load
4.654551356813703E-6,0.0030813735826157903
0.04432556096061178,28.616323537686593
0.08103312909061776,45.50984600525669
0.11256864356001892,52.01422697266522
0.13277707458119536,54.27021227575627
0.15780784883565022,57.07638125979196
0.18753515066353413,61.56955504384404
0.22163374966595126,65.84312355544941
0.2516829515468805,68.65058537927436
0.27551140248468614,70.29407921587274
0.29918541480566185,71.19407346781149
0.3226924495348416,71.71212894724421
0.3461120637555719,71.74859920001825
0.3692162796383809,71.72323801182004
0.39185255070117303,71.7140943492748
0.41412983999266384,71.47686034919273
0.4360752431250984,70.9773820653614
0.474923698367107,69.8947606338565
0.48207647918241386,69.64351194441723
0.526188931155624,67.91033382757264
0.5326748528311773,67.59299110779845
0.5712796669826448,66.02080191441003
0.5783576471282498,65.88733134333978
0.6228683241326378,63.80204102015562
0.6503744605574433,61.90968569859699
0.6756792918922211,59.004725504767514
0.7009979534468244,56.03027987736373
0.7263082387851154,53.24807208203181
0.7516455083197578,50.49983605853798
0.7770000398423683,47.78623302099302
0.8023005179904457,45.326163670839414
0.8275475219944499,43.12652947078038
0.8527524625437561,41.18686333210195
0.8779034197611209,39.50586146170495
0.9030048436691119,38.06749890748292
0.9280762960480511,36.865396973092146
0.9531262387595582,35.916649897921054
0.9781428564240471,35.32293334960774
1.0031371718843363,34.92693645142846
1.0281382455462738,34.574313555918955
1.0531487173435985,34.25333420244073
1.0781777611128942,33.97885303104987
1.1032068680547418,33.75084436312308
1.128241809305775,33.560549549040864
1.1532726199907102,33.42069310282876
1.1782882974742155,33.33688022662443
1.2032903958754326,33.326104012164606
1.2282584998135027,33.378371060113665
1.2532094300320882,33.4323506447196
